BAD: a
BAF: able
BAG: about
BAH: above
BAJ: accept
BAK: across
BAL: act
BAM: actually
BAN: add
BAP: admit
BAR: afraid
BAS: after
BAT: afternoon
BAV: again
BAZ: against
BIB: age
BID: ago
BIF: agree
BIG: ahead
BIH: air
BIJ: alive
BIK: all
BIL: allow
BIM: almost
BIN: alone
BIP: along
BIR: already
BIS: also
BIT: although
BIV: always
BIZ: among
BOB: and
BOD: angry
BOF: animal
BOG: another
BOH: answer
BOJ: any
BOK: anybody
BOL: anymore
BOM: anyone
BON: anything
BOP: anyway
BOR: anywhere
BOS: apartment
BOT: appear
BOV: approach
BOZ: area
BUB: arm
BUD: around
BUF: arrive
BUG: art
BUH: as
BUJ: ask
BUK: asleep
BUL: at
BUM: attack
BUN: attention
BUP: aunt
BUR: avoid
BUS: away
BUT: baby
BUV: back
BUZ: bad
DAB: bag
DAD: ball
DAF: bank
DAG: bar
DAH: barely
DAJ: bathroom
DAK: be
DAL: beach
DAM: bear
DAN: beat
DAP: beautiful
DAR: because
DAS: become
DAT: bed
DAV: bedroom
DAZ: beer
DIB: before
DID: begin
DIF: behind
DIG: believe
DIH: belong
DIJ: below
DIK: bend
DIL: beneath
DIM: beside
DIN: best
DIP: better
DIR: between
DIS: beyond
DIT: big
DIV: bird
DIZ: bit
DOB: bite
DOD: black
DOF: block
DOG: blood
DOH: blow
DOJ: blue
DOK: board
DOL: boat
DOM: body
DON: bone
DOP: book
DOR: boot
DOS: bore
DOT: both
DOV: bother
DOZ: bottle
DUB: bottom
DUD: box
DUF: boy
DUG: brain
DUH: branch
DUJ: break
DUK: breast
DUL: breath
DUM: breathe
DUN: bridge
DUP: bright
DUR: bring
DUS: brother
DUT: brown
DUV: building
DUZ: burn
FAB: bus
FAD: business
FAF: busy
FAG: but
FAH: buy
FAJ: by
FAK: call
FAL: calm
FAM: camera
FAN: can
FAP: car
FAR: card
FAS: care
FAT: careful
FAV: carefully
FAZ: carry
FIB: case
FID: cat
FIF: catch
FIG: cause
FIH: ceiling
FIJ: center
FIK: certain
FIL: certainly
FIM: chair
FIN: chance
FIP: change
FIR: check
FIS: cheek
FIT: chest
FIV: child
FIZ: choice
FOB: choose
FOD: church
FOF: cigarette
FOG: circle
FOH: city
FOJ: class
FOK: clean
FOL: clear
FOM: clearly
FON: climb
FOP: close
FOR: clothes
FOS: cloud
FOT: coat
FOV: coffee
FOZ: cold
FUB: college
FUD: color
FUF: come
FUG: company
FUH: completely
FUJ: computer
FUK: confuse
FUL: consider
FUM: continue
FUN: control
FUP: conversation
FUR: cool
FUS: cop
FUT: corner
FUV: count
FUZ: counter
GAB: country
GAD: couple
GAF: course
GAG: cover
GAH: crazy
GAJ: create
GAK: creature
GAL: cross
GAM: crowd
GAN: cry
GAP: cup
GAR: cut
GAS: dad
GAT: dance
GAV: dark
GAZ: darkness
GIB: daughter
GID: day
GIF: dead
GIG: death
GIH: decide
GIJ: deep
GIK: desk
GIL: despite
GIM: die
GIN: different
GIP: dinner
GIR: direction
GIS: dirt
GIT: disappear
GIV: discover
GIZ: distance
GOB: do
GOD: doctor
GOF: dog
GOG: door
GOH: doorway
GOJ: down
GOK: dozen
GOL: drag
GOM: draw
GON: dream
GOP: dress
GOR: drink
GOS: drive
GOT: driver
GOV: drop
GOZ: dry
GUB: during
GUD: dust
GUF: each
GUG: ear
GUH: early
GUJ: earth
GUK: easily
GUL: east
GUM: easy
GUN: eat
GUP: edge
GUR: effort
GUS: egg
GUT: eight
GUV: either
GUZ: else
HAB: empty
HAD: end
HAF: engine
HAG: enjoy
HAH: enough
HAJ: enter
HAK: entire
HAL: especially
HAM: even
HAN: event
HAP: ever
HAR: every
HAS: everybody
HAT: everyone
HAV: everything
HAZ: everywhere
HIB: exactly
