BAD: bad
BAF: able
BAG: bag
BAH: above
BAJ: accept
BAK: back
BAL: ball
BAM: actually
BAN: branch
BAP: admit
BAR: bar
BAS: after
BAT: beat
BAV: again
BAZ: against
BIB: age
BID: bird
BIF: agree
BIG: big
BIH: act
BIJ: alive
BIK: all
BIL: barely
BIM: almost
BIN: be
BIP: along
BIR: beer
BIS: also
BIT: bit
BIV: always
BIZ: business
BOB: and
BOD: body
BOF: animal
BOG: another
BOH: blow
BOJ: any
BOK: anybody
BOL: anymore
BOM: anyone
BON: bone
BOP: anyway
BOR: bore
BOS: best
BOT: both
BOV: approach
BOZ: area
BUB: arm
BUD: around
BUF: arrive
BUG: art
BUH: as
BUJ: ask
BUK: book
BUL: at
BUM: bottom
BUN: burn
BUP: aunt
BUR: avoid
BUS: bus
BUT: but
BUV: across
BUZ: allow
DAB: about
DAD: dad
DAF: bank
DAG: drag
DAH: a
DAJ: bathroom
DAK: among
DAL: beach
DAM: serious
DAN: dance
DAP: beautiful
DAR: because
DAS: become
DAT: that
DAV: bedroom
DAZ: already
DIB: before
DID: dead
DIF: behind
DIG: believe
DIH: die
DIJ: below
DIK: thick
DIL: beneath
DIM: them
DIN: apartment
DIP: deep
DIR: between
DIS: this
DIT: ahead
DIV: ago
DIZ: although
DOB: place
DOD: black
DOF: block
DOG: dog
DOH: though
DOJ: blue
DOK: board
DOL: boat
DOM: angry
DON: anything
DOP: asleep
DOR: door
DOS: two
DOT: appear
DOV: bother
DOZ: dozen
DUB: attack
DUD: box
DUF: boy
DUG: brain
DUH: the
DUJ: break
DUK: breast
DUL: breath
DUM: breathe
DUN: do
DUP: bright
DUR: bring
DUS: dust
DUT: brown
DUV: building
DUZ: attention
FAB: away
FAD: fade
FAF: busy
FAG: baby
FAH: buy
FAJ: by
FAK: hey
FAL: fall
FAM: family
FAN: except
FAP: eye
FAR: far
FAS: however
FAT: afternoon
FAV: carefully
FAZ: face
FIB: carry
FID: find
FIF: catch
FIG: figure
FIH: ceiling
FIJ: center
FIK: certain
FIL: fill
FIM: chair
FIN: finger
FIP: change
FIR: fire
FIS: cheek
FIT: fit
FIV: five
FIZ: fix
FOB: choose
FOD: church
FOF: cigarette
FOG: circle
FOH: city
FOJ: class
FOK: clean
FOL: clear
FOM: clearly
FON: phone
FOP: close
FOR: for
FOS: cloud
FOT: inside
FOV: coffee
FOZ: husband
FUB: college
FUD: food
FUF: end
FUG: company
FUH: completely
FUJ: computer
FUK: fuck
FUL: full
FUM: from
FUN: fun
FUP: conversation
FUR: hair
FUS: important
FUT: foot
FUV: count
FUZ: counter
GAB: country
GAD: couple
GAF: course
GAG: kind
GAH: sigh
GAJ: create
GAK: creature
GAL: cross
GAM: game
GAN: cry
GAP: horse
GAR: hotel
GAS: air
GAT: gate
GAV: dark
GAZ: darkness
GIB: daughter
GID: day
GIF: gift
GIG: death
GIH: decide
GIJ: better
GIK: desk
GIL: despite
GIM: belong
GIN: begin
GIP: dinner
GIR: direction
GIS: dirt
GIT: get
GIV: give
GIZ: distance
GOB: bridge
GOD: god
GOF: blood
GOG: boot
GOH: go
GOJ: down
GOK: bottle
GOL: afraid
GOM: draw
GON: dream
GOP: dress
GOR: drink
GOS: drive
GOT: driver
GOV: drop
GOZ: dry
GUB: during
GUD: good
GUF: each
GUG: ear
GUH: early
GUJ: earth
GUK: easily
GUL: east
GUM: easy
GUN: gun
GUP: edge
GUR: effort
GUS: egg
GUT: eight
GUV: either
GUZ: else
HAB: empty
HAD: head
HAF: engine
HAG: enjoy
HAH: hi
HAJ: enter
HAK: entire
HAL: hall
HAM: even
HAN: event
HAP: ever
HAR: hear
HAS: everybody
HAT: hate
HAV: have
HAZ: everywhere
HIB: exactly
HID: hide
HIF: excite
HIG: expect
HIH: he
HIJ: high
HIK: extra
HIL: hill
HIM: him
HIN: in
